updated|content|app_name|rating
2022-03-02 20:30:33-07:00|So I was doing a lightning round and all it’s giving me is lessons I haven’t done before please help|Duolingo - Language Lessons|1.0
2022-03-02 19:48:02-07:00|Duolingo has helped me greatly improve my Spanish on my own in these last 2+ years. However, as you get to the more advanced topics, you’re penalized for spending more time trying to really grasp a topic because if you’re spending time understanding and reviewing, you aren’t getting the same number of XP you could be getting speeding through lessons. It’s at the point where I have to decide if I want to maximize points to advance in the weekly contests or maximize the amount of true understanding I’m getting on topics. It would be awesome if Duo could somehow track the amount of active time you’re working on a lesson and reward you for taking the time to really understand a new topic.|Duolingo - Language Lessons|4.0
2022-03-02 19:43:33-07:00|Given that I am I a fluent English speaker and only speak one language, I wanted to use an app that was free and helpful for learning to speak and understand another language. Duolingo is a popular choice among language learners so I decided to give it a try. I used the app for about a month before deleting it. Learning to speak the language with this app is not only hard, but also ineffective in helping me understand the language. For example, I was learning hangeul and I was supposed to listen to a voice saying the word and click on the answer that correlates with that word. Except when I clicked on the answer that sounded like that word, I was wrong. How was I supposed to know which answer was right when they all sounded the same? Not to mention, the robot voice is really unhelpful when trying to pronounce the words. I can barely hear the distinct sound of the word. Another thing, when I was first learning, I was bombarded by words I never even learned and duolingo wanted me to identify what the words were. I’ve never even seen the word in my life and it expected me to know what it sounded like and looked like? Ridiculous. Also, I never received lessons on how to identify the difference between two words that look almost alike. They just left it up to me to figure it out myself. All in all, I won’t ever be choosing to use this app to learn a language. I even tried Spanish! Still didn’t learn anything useful or complete my goal of learning and speaking a language.|Duolingo - Language Lessons|1.0
2022-03-02 19:41:53-07:00|It’s a clever well thought teaching app It teaches in a fun way At a slow pace reviewing  words over and over in different ways. I retain what I learn. You learn verb tenses as you go I enjoy using the app even after a full day at work I think everyone should learn multiple languages It is a enriching experience.|Duolingo - Language Lessons|5.0
2022-03-02 19:17:23-07:00|Currently Held hostage by duolingo|Duolingo - Language Lessons|4.0
2022-03-02 18:58:12-07:00|Great and easy to understand, step by step help and fun activities and lessons 10/10|Duolingo - Language Lessons|5.0
2022-03-02 18:07:40-07:00|I love the app|Duolingo - Language Lessons|5.0
2022-03-02 17:15:22-07:00|Great fun and learning a lot|Duolingo - Language Lessons|5.0
2022-03-02 17:08:19-07:00|Love the app on the phone and iPad, but why can’t I use my computer? Would love to use the larger screen and keyboard to avoid RSI, but the scoring and features on the web don’t match the app. If we can’t bring them in sync, can you allow the iPad app to be used on the M1 Mac? Otherwise … love it!|Duolingo - Language Lessons|4.0
2022-03-02 16:50:08-07:00|They don’t got English what if little kids wanna speak better |Duolingo - Language Lessons|1.0
2022-03-02 16:48:18-07:00|Not sure if that’s the right term for it but ive noticed some features aren’t there anymore though it will still ask you to complete those features to gain your achievements. I’m a sucker for completing those goals so it’s really frustrating that it’s asking me to do timed practice when it isn’t even an accessible option. I did research on this and duolingo customer service has suggested to people to essentially modify some code to posssiblyyy bring it back on your device due to some A/B test or something. Lots of reviews said how if you write in about this, they likely won’t fix it. To us non tech people, that’s confusing and quite frustrating.Id suggest fixing the app so everyone has access to the same features or getting rid of the not-actually-possible achievements so people don’t even realize they aren’t getting everything they paid for () The learning itself is helpful. just a bummer when you pay for duolingo plus only to find out your app doesn’t give you all those features.|Duolingo - Language Lessons|2.0
2022-03-02 16:45:27-07:00|This app is really good because I speak Creol and English but no one ever really taught me Creol, I can’t really speak in Creol but when someone saids something in Creol I can kinda understand what they say, but now I know more words than I knew before my cousin recommended this because she also is learning it to so shout out to her!|Duolingo - Language Lessons|5.0
2022-03-02 16:22:12-07:00|So I have to change my review. Previously I thought duo was overhyped bc it dealt with just translating and not much learning. But now, depending on what language you’re learning, they have a lot to offer. Spanish for example has reading sections, listening sections, and podcasts in addition to the regular activities. And you can actually read about the grammatical structures so you understand it. They still have improvements to make, most languages don’t have much content and even the more popular languages like Spanish could improve the more complex grammar lessons, but I’m sure I’ll end up editing this review again in a couple years.|Duolingo - Language Lessons|4.0
2022-03-02 16:15:01-07:00|Today March 2, 2022 the Duolingo App for ipad isn’t working better since in the morning at 9:00 in my time. I have update my ipad. I reported that when you click on the application doesn’t respond, it’s crash. Please resolve this problem. Thank you. My money is better so the service must be good. Thank you|Duolingo - Language Lessons|3.0
