updated|content|app_name|rating
2022-03-01 15:48:24-07:00|It’s fun, interactive, and all around educational while learning more than expected! I start my day with my little green owl and add a lesson or two before heading to bed!|Duolingo - Language Lessons|5.0
2022-03-01 15:18:11-07:00|Because of Duolingo, I can speak simple sentences in french.Good job.|Duolingo - Language Lessons|5.0
2022-03-01 15:11:03-07:00|Duolingo is s great if you have a short time to learn a new language. If you are studying I a language in school, Duolingo can help you get ahead. My mother used it because she travels a lot for work, so in order to communicate with the people from that certain area she had to learn at least a few different words in their language. This app is wonderful. I highly recommend.|Duolingo - Language Lessons|5.0
2022-03-01 15:02:00-07:00|This app has carried my further than any of my Spanish teachers ever have! I highly recommend|Duolingo - Language Lessons|5.0
2022-03-01 14:28:12-07:00|Update it so you don’t have to sign in so you can go to lesson 2 because at my school I can’t|Duolingo - Language Lessons|1.0
2022-03-01 14:14:03-07:00|got this to improve on my ukrainian (my family is ukrainian) and i am shocked how much material you get for free.|Duolingo - Language Lessons|4.0
2022-03-01 13:38:27-07:00|I love this!|Duolingo - Language Lessons|5.0
2022-03-01 12:38:16-07:00|As a language app it’s good.  HOWEVER, IMBEDDED ARE ULTRA LEFT MESSAGES LIKE:  “POLICE NEED REFORM” and Transgender and non-binary translation exercises.  Too bad this could be good.  It is never great because it doesn’t do a good job on multiple meanings insisting on a single translation when multiple are correct.  The only way to get their attention is to write this kind of review.  Little to no acknowledgement of any feedback a user sends in.|Duolingo - Language Lessons|1.0
2022-03-01 12:37:55-07:00|Get rid of the hearts. I stopped using duo for a long time because you brought the hearts back. Thought I’d give it another try and I dislike them as much now as I did then. I have limited time to work on languages and when that’s cut even shorter because of a few misspelled words or a wrong conjugation, it’s very frustrating.|Duolingo - Language Lessons|3.0
2022-03-01 12:35:00-07:00|I’ m really enjoying learning a second language .|Duolingo - Language Lessons|5.0
2022-03-01 11:36:50-07:00|Duolingo has helped me SO much. It’s really fun, and can be challenging but it’s not boring at all! I’ve tried other language learning apps and this is by far the best! It definitely deserves five stars. I don’t plan on writing a whole paragraph but I think my rating describes my review well enough! This is a fantastic app. |Duolingo - Language Lessons|5.0
2022-03-01 10:38:32-07:00|I got to the unit one test and it gave me things it never taught me. Do not recommend. Get a grip Duolingo.|Duolingo - Language Lessons|1.0
2022-03-01 10:33:57-07:00|I downloaded the free trial plus. I was just charged for annual fee but my trial period still has couple of days and the app didn’t tell me i’ll be charged, no reminder either because my trial didnt end yet! I’m going to report this app to consumer rights authorities if i don’t hear back from doulingo.Total scam. Watch out everyone.|Duolingo - Language Lessons|1.0
2022-03-01 08:48:11-07:00|I love duo and it has really helped me start learning Spanish. The pictures and levels keep the app motivating for me to come back everyday, rather than giving up right away. The only issue I have is that some of my lessons have glitches in them where I cannot fully type the sentence or phrase in the word bar. This causes the app to tell me I have gotten the wrong answer. When this happens it tells me I am out of hearts and I cannot keep continuing with the lesson, which really interferes with me being able to learn unfortunately. Hopefully they can fix this error because the app would be a five star rating without simple glitches.|Duolingo - Language Lessons|3.0
2022-03-01 06:37:46-07:00|I actually learned a language from this app! Also it’s free and when you run outOf hearts you can refill them for free |Duolingo - Language Lessons|5.0
